ID,Phase,Priority,Category,Task,Owner,Dependencies,Estimated_Hours,Status,Notes
T1,P0,P0,Data Provenance,Clean git tree and make a clean commit,Student/Author,,2,Completed,Clean commit made
T2,P0,P0,Data Provenance,Fix and regenerate release manifest,Student/Author,T1,4,Completed,23 datasets; dirty=false
T3,P0,P0,Experiments,Complete Cirq/tket multi-compiler comparison (E20),Student/Author,T2,16,Completed,1070 rows in multi_compiler_full.csv
T4,P0,P0,Theory,Stricize Phase-2a/2b/3 definitions in code and docs,Student/Author,,8,Completed,Phase-2a commutation; Phase-2b templates
T5,P0,P0,Theory,Address Theorem 8 regime mismatch,Student/Author,,6,Completed,Caveat added to docs
T6,P0,P0,Manuscript,Rename/downgrade predictive model and report held-out failure,Student/Author,,4,Completed,Model downgraded; failure reported
T7,P0,P0,Data Provenance,Fix E10 canonical path in DATA_CANONICAL.md,Student/Author,T2,1,Completed,1905-row version referenced
T8,P0,P0,Figures,Convert all figures from PNG to PDF/SVG,Student/Author,T2,4,Completed,All figures regenerated as vector PDFs
T9,P0,P0,Code,Remove hardcoded absolute paths,Student/Author,,3,Completed,Use src/config.py consistently
T10,P0,P0,Reproducibility,Generate Conda lock and update Dockerfile,Student/Author,T9,4,Completed,requirements-lock.txt + Dockerfile added
T11,P1,P1,Theory,Empirically validate Theorem 6 (E23),Student/Author,T10,12,Completed,160 circuits; Phase-1 reduction=0 rate 100%
T12,P1,P1,Theory,Instantiate and validate Theorem 7 (E24),Student/Author,T10,12,Completed,Phase-1=0; Phase-2a mean reduction 79.8%
T13,P1,P1,Experiments,Increase sample size for E10/E11/E12 to achieve beta>=0.80,Student/Author,T10,24,Completed,E10/E12 adequate; E11 merged with supplemental replica -> n=173; MWU power=0.859
T14,P1,P1,Experiments,Run E21 ceiling-aware optimizer in full mode,Student/Author,T10,16,Completed,1140 rows; speedup 35x; p=2.04e-89
T15,P1,P1,Experiments,Integrate MQT Bench / QUEKO / Benchpress benchmarks (E25),Student/Author,T10,20,Partially Completed,E25 scaffold added; true MQT/Benchpress unavailable offline (no pip/network)
T16,P1,P1,Code,Expand Phase-2b template matcher,Student/Author,T4,12,Completed,Target-side templates and identities added
T17,P1,P1,Literature,Add ~20 missing key references and unify citation format,Student/Author,,16,Completed,88 refs in unified_references.md; remaining .bib generation deferred to writing phase
T18,P1,P1,Statistics,Report effect sizes (Cliff's delta / Hedges' g),Student/Author,,8,Completed,Effect-size summary CSV and script added
T19,P1,P1,Code,Split monolithic test_core.py,Student/Author,,8,In Progress,test_ag_canonical and test_hardness_families added; further split ongoing
T20,P1,P1,Manuscript,Create claim-evidence mapping table,Student/Author,,6,Completed,claim_evidence_table.csv + appendix v6.3
T21,P2,P2,Experiments,Add noise and hardware topology sensitivity experiments,Student/Author,T15,24,Not Started,Enhance practical relevance
T22,P2,P2,Code,Add OpenQASM 3.0 I/O support,Student/Author,T10,16,Not Started,Community standard
T23,P2,P2,Outreach,Build interactive web appendix/dashboard,Student/Author,T20,20,Not Started,Optional but impactful
T24,P2,P2,Submission,Obtain Zenodo DOI and prepare artifact badges,Student/Author,T10,4,Not Started,Reproducibility badge
T25,P2,P2,Review,Invite external pre-review,Advisor/Collaborator,T20,8,Not Started,Catch reviewer concerns early
T26,P2,P2,Submission,Adapt to target venue LaTeX template and format,Student/Author,T17,8,Not Started,Quantum/QCE/TQC formatting
