tag,kind,query,note,status
10,ref,Maslov Dueck Miller reversible Toffoli networks synthesis,ACM TODAES 12(4) 2008,"Toffoli network synthesis with templates (2005; D Maslov, GW Dueck, DM Miller)"
20,ref,Amy Glaudell Ross number-theoretic quantum circuits,npj QI 4:43 2018 / arXiv:1606.02729,"Number-theoretic characterizations of some restricted Clifford+ T circ (2020; M Amy, AN Glaudell, NJ Ross) | Optimal two-qubit circuits for universal fault-tolerant quantum comput (2021; AN Glaudell, NJ Ross, JM Taylor) | Exact synthesis of multiqutrit clifford-cyclotomic circuits (2024; AN Glaudell, NJ Ross, J van de Wetering…)"
21,ref,Duncan Kissinger Perdrix van de Wetering graph-theoretic simplification,"Quantum 4, 279 (2020)",NO_RESULTS
22,ref,de Beaudrap Kissinger Wetering resynthesis ZX-calculus QPL,QPL 2022 / arXiv:2206.10843,"Relating measurement patterns to circuits via pauli flow (2021; W Simmons) | Symbolic synthesis of Clifford circuits and beyond (2022; M Amy, O Bennett-Gibbs, NJ Ross) | Phase gadget synthesis for shallow circuits (2019; A Cowtan, S Dilkes, R Duncan, W Simmons…)"
25,ref,Janzing Wocjan Beth QMA-complete identity check 2003,IJQI 1(4) 507,""" Non-identity-check"" is QMA-complete (2005.0; D Janzing, P Wocjan, T Beth) | Identity check is QMA-complete (2003) (; D Janzing, P Wocjan, T Beth)"
32,ref,Downey Fellows parameterized complexity book Springer,Springer 2013,NO_RESULTS
33,ref,Nielsen geometric approach quantum circuit lower bounds quant-ph 0502070,arXiv 2005,"A geometric approach to quantum circuit lower bounds (; MA Nielsen) | Quantum circuit complexity and unsupervised machine learning of topolo (2026.0; Y Che, C Gneiting, X Wang, F Nori) | A quantum complexity lower bound from differential geometry (2023.0; AR Brown)"
35,ref,Shende Bullock Markov synthesis quantum logic circuits TCAD,IEEE TCAD 25(6) 2006,"Synthesis of quantum logic circuits (2005; VV Shende, SS Bullock, IL Markov)"
39,ref,Farhi Goldstone Gutmann quantum approximate optimization algorithm,arXiv:1411.4028,NO_RESULTS
40,ref,Peruzzo McClean variational eigenvalue solver photonic,Nat Commun 5:4213,"Differentiation of linear optical circuits (2024; G de Felice, C Corlett) | Qubit count reduction by orthogonally constrained orbital optimization (2024; J Bierman, Y Li, J Lu) | Calculus on parameterized quantum circuits (1812; JG Vidal, DO Theis)"
46,ref,Qiskit open-source framework quantum computing Javadi,Zenodo/software,NO_RESULTS
47,ref,Cirq quantum AI python library NISQ,software,NO_RESULTS
48,ref,Sivarajah tket retargetable compiler NISQ,QST 6 014003,NO_RESULTS
50,ref,Fowler Mariantoni Martinis Cleland surface codes,PRA 86 032324,NO_RESULTS
51,ref,Brandao Harrow Horodecki local random quantum circuits,CMP 346 397,"Local random quantum circuits are approximate polynomial-designs (2016; FGSL Brandao, AW Harrow, M Horodecki)"
