ID,Phase,Priority,Category,Task,Owner,Dependencies,Estimated_Hours,Status,Notes
T1,P0,P0,Data Provenance,Clean git tree and make a clean commit,Student/Author,,2,Not Started,Required before regenerating manifest
T2,P0,P0,Data Provenance,Fix and regenerate release manifest,Student/Author,T1,4,Not Started,Ensure dirty=false and SHA256 match
T3,P0,P0,Experiments,Complete Cirq/tket multi-compiler comparison (E20),Student/Author,T2,16,Not Started,Resolve limitation L3/L8
T4,P0,P0,Theory,Stricize Phase-2a/2b/3 definitions in code and docs,Student/Author,,8,Not Started,Update all theorem scopes
T5,P0,P0,Theory,Address Theorem 8 regime mismatch,Student/Author,,6,Not Started,Add discussion and possibly small validation
T6,P0,P0,Manuscript,Rename/downgrade predictive model and report held-out failure,Student/Author,,4,Not Started,Replace Universal Predictive Law narrative
T7,P0,P0,Data Provenance,Fix E10 canonical path in DATA_CANONICAL.md,Student/Author,T2,1,Not Started,Use 1905-row version
T8,P0,P0,Figures,Convert all figures from PNG to PDF/SVG,Student/Author,T2,4,Not Started,Vector format for publication
T9,P0,P0,Code,Remove hardcoded absolute paths,Student/Author,,3,Not Started,Use relative paths or env var
T10,P0,P0,Reproducibility,Generate Conda lock and update Dockerfile,Student/Author,T9,4,Not Started,Enable exact reproduction
T11,P1,P1,Theory,Empirically validate Theorem 6 (E23),Student/Author,T10,12,Not Started,AG canonical form circuits
T12,P1,P1,Theory,Instantiate and validate Theorem 7 (E24),Student/Author,T10,12,Not Started,Artificial hardness family
T13,P1,P1,Experiments,Increase sample size for E10/E11/E12 to achieve beta>=0.80,Student/Author,T10,24,Not Started,Power analysis required
T14,P1,P1,Experiments,Run E21 ceiling-aware optimizer in full mode,Student/Author,T10,16,Not Started,Smoke-only currently
T15,P1,P1,Experiments,Integrate MQT Bench / QUEKO / Benchpress benchmarks (E25),Student/Author,T10,20,Not Started,Industry-standard baselines
T16,P1,P1,Code,Expand Phase-2b template matcher,Student/Author,T4,12,Not Started,Target-side templates and more identities
T17,P1,P1,Literature,Add ~20 missing key references and unify citation format,Student/Author,,16,Not Started,Shende-Bullock-Markov; Nam; VOQC; ZX
T18,P1,P1,Statistics,Report effect sizes (Cliff's delta / Hedges' g),Student/Author,,8,Not Started,Already implemented but unused
T19,P1,P1,Code,Split monolithic test_core.py,Student/Author,,8,Not Started,Improve maintainability
T20,P1,P1,Manuscript,Create claim-evidence mapping table,Student/Author,,6,Not Started,Map every claim to data/script
T21,P2,P2,Experiments,Add noise and hardware topology sensitivity experiments,Student/Author,T15,24,Not Started,Enhance practical relevance
T22,P2,P2,Code,Add OpenQASM 3.0 I/O support,Student/Author,T10,16,Not Started,Community standard
T23,P2,P2,Outreach,Build interactive web appendix/dashboard,Student/Author,T20,20,Not Started,Optional but impactful
T24,P2,P2,Submission,Obtain Zenodo DOI and prepare artifact badges,Student/Author,T10,4,Not Started,Reproducibility badge
T25,P2,P2,Review,Invite external pre-review,Advisor/Collaborator,T20,8,Not Started,Catch reviewer concerns early
T26,P2,P2,Submission,Adapt to target venue LaTeX template and format,Student/Author,T17,8,Not Started,Quantum/QCE/TQC formatting
