experiment,metric,rule,n_rows_flagged,pct_of_experiment,classification,rationale,example_values,example_ids
E1,success,constant_status_column,25000,100.0,needs-attention,'success' is uniformly False across all rows; column carries no information and cannot corroborate failure flags,False,
E1,fidelity,fidelity_fp_epsilon,22,0.088,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)","1, 1, 1, 1, 1",
E1,runtime_seconds,zscore_abs_gt_4,83,0.332,benign,heavy-tailed runtime distribution (not a validity issue),"0.0212259, 0.0157535, 0.0750248, 0.0215707, 0.0188434",
E1,runtime_seconds,iqr_1.5x,229,0.916,benign,heavy-tailed runtime distribution (not a validity issue),"0.0212259, 0.0110738, 0.0134709, 0.0157535, 0.0105243",
E2,success,constant_status_column,2100,100.0,needs-attention,'success' is uniformly False across all rows; column carries no information and cannot corroborate failure flags,False,
E2,fidelity,fidelity_fp_epsilon,1,0.048,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)",1,
E2,runtime_seconds,zscore_abs_gt_4,27,1.286,benign,heavy-tailed runtime distribution (not a validity issue),"0.0306571, 0.0286942, 0.0563219, 0.0690584, 0.0277846",
E2,runtime_seconds,iqr_1.5x,143,6.81,benign,heavy-tailed runtime distribution (not a validity issue),"0.0133796, 0.0181835, 0.0306571, 0.0121114, 0.0120196",
E3,success,constant_status_column,12000,100.0,needs-attention,'success' is uniformly False across all rows; column carries no information and cannot corroborate failure flags,False,
E3,fidelity,fidelity_fp_epsilon,23,0.192,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)","1, 1, 1, 1, 1",
E3,fidelity,fidelity_zero,38,0.317,explainable,failed trial (success=False),"0, 0, 0, 0, 0",
E3,fidelity,zscore_abs_gt_4,38,0.317,explainable,failed trial (success=False),"0, 0, 0, 0, 0",
E3,fidelity,iqr_1.5x,120,1.0,explainable,failed trial (success=False),"0, 0, 0, 0, 0",
E3,runtime_seconds,zscore_abs_gt_4,58,0.483,benign,heavy-tailed runtime distribution (not a validity issue),"0.0221248, 0.0220947, 0.0346751, 0.0287676, 0.0320005",
E3,runtime_seconds,iqr_1.5x,484,4.033,benign,heavy-tailed runtime distribution (not a validity issue),"0.0221248, 0.0159998, 0.0100014, 0.0170023, 0.0120022",
E4,success,constant_status_column,400,100.0,needs-attention,'success' is uniformly False across all rows; column carries no information and cannot corroborate failure flags,False,
E4,reduction,reduction_negative,39,9.75,explainable,baseline metaheuristic inflation (SA/GA can increase gate count; same mechanism quantified multi-seed in E29),"-0.0266667, -0.08, -0.0533333, -0.0266667, -0.0266667",
E4,reduction,zscore_abs_gt_4,8,2.0,explainable,baseline metaheuristic inflation (SA/GA can increase gate count; same mechanism quantified multi-seed in E29),"-0.08, -0.08, -0.16, -0.08, -0.08",
E4,fidelity,zscore_abs_gt_4,2,0.5,benign,"in-range statistical tail value (distributional, not a validity issue)","0.998121, 0.994724",
E4,fidelity,iqr_1.5x,15,3.75,benign,"in-range statistical tail value (distributional, not a validity issue)","0.999697, 1, 1, 1, 1",
E4,runtime_seconds,zscore_abs_gt_4,2,0.5,benign,heavy-tailed runtime distribution (not a validity issue),"19.7185, 23.7841",
E4,runtime_seconds,iqr_1.5x,4,1.0,benign,heavy-tailed runtime distribution (not a validity issue),"19.7185, 14.7104, 23.7841, 13.9428",
E5,reduction,zscore_abs_gt_4,96,1.6,benign,"in-range statistical tail value (distributional, not a validity issue)","0.0666667, 0.133333, 0.0666667, 0.133333, 0.133333","0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 8, 9, 9, 9"
E5,fidelity,fidelity_fp_epsilon,138,2.3,benign,"fidelity 1+eps (float rounding, |eps|<=1e-9)","1, 1, 1, 1, 1","7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7"
