coefficient,fixed_391_input_weighted_estimate_pp,population,estimate_role,inference_status,legacy_input_cluster_inference_status,invalid_legacy_fields,design_based_p_value,design_based_confidence_interval
C(listing_model)[T.WCL],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(window_gates)[T.16],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(window_gates)[T.64],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(budget_seconds)[T.10],4.804587378251393,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(budget_seconds)[T.30],4.914787321528124,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(budget_seconds)[T.120],4.958321181196754,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES],0.0,FROZEN_391_INPUT_FIXED_PANEL,EXPLORATORY_PARAMETERIZATION_DIAGNOSTIC_FIXED_PANEL_DESCRIPTION,DESCRIPTIVE_POINT_ESTIMATE_ONLY,INVALID_WRONG_OUTER_CLUSTER,cluster_robust_se_pp|ci95_low_pp|ci95_high_pp|p_value_model_based|holm_adjusted_p_within_role,,
