metric_id,section,item,metric,target,status,evidence_domain,disposition
1.01,1,1,核心主张证据覆盖率,100%；每项核心主张都有直接数据、定理或反例证据,PASS,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,verified in current bounded contract
1.02,1,2,主张越界率,0；经验结果不得升级成算法无关或普适结论,PASS,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,verified in current bounded contract
1.03,1,3,语义有效率,所有被计为“成功”的输出必须通过约定等价标准,PASS,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,verified in current bounded contract
1.04,1,4,未知有效性比例,单独报告；不得把 unavailable/unchecked 当成 valid,PASS,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,verified in current bounded contract
1.05,1,5,ITT 完整性,timeout、error、invalid 全部进入分母,PASS,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,verified in current bounded contract
1.06,1,6,输入配对完整率,比较工具必须使用完全相同且哈希一致的输入,PASS,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,verified in current bounded contract
1.07,1,7,未记录排除数量,0,PASS,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,verified in current bounded contract
1.08,1,8,未记录协议偏离数量,0,PASS,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,verified in current bounded contract
1.09,1,9,主要效应及区间,效应量、95% CI、科学最小重要差异同时报告,PARTIAL,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,some evidence exists; residual work is required
1.10,1,10,外层独立单位数量,以家族、问题类、硬件或独立数据源计算，不能用重复 seed 冒充,PASS,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,verified in current bounded contract
1.11,1,11,最坏家族表现,必须报告，而不仅是总体均值,PASS,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,verified in current bounded contract
1.12,1,12,LOFO/LOCO 稳定性,去掉任一家族后结论方向和数量级是否稳定,PASS,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,verified in current bounded contract
1.13,1,13,跨家族泛化,使用真正未见过的 generator/family 和嵌套区间,PARTIAL,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,some evidence exists; residual work is required
1.14,1,14,Pareto 前沿,质量、时间、内存、失败率、保真度联合比较,PARTIAL,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,some evidence exists; residual work is required
1.15,1,15,规模规律,时间、内存、质量随 qubit/gate/depth 增长的经验指数及区间,PARTIAL,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,some evidence exists; residual work is required
1.16,1,16,强基线覆盖,学术 SOTA、工业编译器、独立工件、简单基线均包含,PASS,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,verified in current bounded contract
1.17,1,17,硬件相关性,native 2Q count/depth、duration、noise-aware fidelity、success probability,PARTIAL,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,some evidence exists; residual work is required
1.18,1,18,可复现实验率,从干净环境一条命令重建主要表图,PARTIAL,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,some evidence exists; residual work is required
1.19,1,19,独立复现率,至少一次由非开发者或新机器完成冷启动复现,FAIL,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,missing or failed; claim must remain barred until repaired
1.20,1,20,新颖性碰撞风险,最近文献中是否已有同问题、同表示、同诊断、同实验设计,EXTERNAL,docs/review/prepaper_final_audit_2026-08-10.md; E31 frozen Pareto design and non-confirmatory smoke,"requires external hardware, independent people, or live literature evidence"
2.01,2,1,研究问题是否能用一句可证伪的话表达？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
2.02,2,2,所谓“表示敏感性”具体是 gate listing、DAG、ZX 图、phase polynomial，还是搜索动作编码？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
2.03,2,3,研究对象是算法、搜索过程、规则库还是输入表示？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
2.04,2,4,“ceiling”是规则集条件下、预算条件下、算法条件下，还是全算法意义上的？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
2.05,2,5,“优化能力”指找到更短电路、找到任何改进、达到局部最优，还是接近已知全局最优？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
2.06,2,6,每个术语是否有数学定义和可执行判定器？,top-tier audit question,PARTIAL,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,some evidence exists; residual work is required
2.07,2,7,结论的总体是什么：所有量子线路、某基门集，还是所采样的家族？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
2.08,2,8,主要结局是否在观察数据前冻结？,top-tier audit question,PARTIAL,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,some evidence exists; residual work is required
2.09,2,9,科学最小重要差异是否预先定义？,top-tier audit question,PARTIAL,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,some evidence exists; residual work is required
2.10,2,10,什么结果会推翻主要假设？,top-tier audit question,PASS,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,verified in current bounded contract
2.11,2,11,什么结果只会缩小主张而不会完全推翻？,top-tier audit question,PARTIAL,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,some evidence exists; residual work is required
2.12,2,12,是否区分探索性、支持性和确认性问题？,top-tier audit question,PARTIAL,docs/review/prepaper_protocol_2026-08-09.md; docs/theory/prepaper_theory_gate_2026-08-10.md,some evidence exists; residual work is required
