> **STATUS**: Integrated. `Manuscript_Location` remapped to the manuscript v8 section numbering (wave 3, 2026-07-21); the v7-era citations in rows C13–C17 were corrected at the same time. Machine-readable companion of the Appendix A claim-evidence map.

,ID,Claim,Manuscript_Location,Evidence_Type,Evidence_ID,Code_Script,Data_File,Limitations_Caveats
0,C1,The Phase-1 ceiling is structural under the tested listing/window/local-rewrite model: Phase-1 optimizers achieve ~0% gate reduction when no listing-adjacent inverse/mergeable pairs are exposed.,Section 3.2 (Thm 1); Section 4.1 (Thm 2); Section 6.1; Fig. 1; Table 7,Experiment,E1-E5; E14; E19,experiments/e01_phase_transition/run.py; experiments/e19_wcl_listing/run.py,data/v3/e01/; data/v5/e14/; data/v6/e19/,Only 3/15 families (QFT/GHZ/SurfaceCode) show genuine structural ceiling confirmed by all compilers. 7/15 show prototype action-space ceiling where production peephole optimizers achieve 5-63%. Trichotomy is empirical observation on 15 pre-selected families; not universal law. WCL validation limited to random Universal.
1,C2,Phase-2a commutation rewriting provides context-dependent improvement on select circuit families.,Section 4.2 (C2); Section 6.3; Fig. 8; Fig. 11,Experiment,E10; E14; E16; E24,experiments/e10_phase1_vs_phase2/run.py; experiments/e24_theorem7/run.py,data/v5/e10/; data/v5/e14/; data/v5/e16/; data/v7/e24/,Improvement is family-dependent. Phase-2a empirical results do not prove Phase-2b template-assisted theorems.
2,C3,Production compiler gap analysis reveals mechanisms beyond the prototype peephole model.,Section 6.5; Fig. 12; Fig. 16; Table 12,Experiment,E12; E15; Qiskit pass-isolation artifact,experiments/e12_compiler_baseline/run.py; analysis/qiskit_pass_analysis.py,data/v5/e12/; data/v5/e15/,Hardware-specific effects not fully modeled. Cirq/t|ket> comparisons are present in E20 but require independent verification.
3,C4,Phase-2a window size w affects the trade-off between optimization power and runtime.,Section 6.3 (E16); Fig. 11; Table 8,Experiment,E16,experiments/e16_window_scaling/run.py,data/v5/e16/,Underpowered comparison (reported power=0.126); treat saturation as empirical trend not confirmed design rule.
4,C5,Hardware topology constraints affect optimization opportunities differently.,Section 6.8; Fig. 18,Experiment,E17,experiments/e17_connectivity/run.py,data/v5/e17/,Simplified topology models. Real hardware has additional noise/error effects not modeled.
5,C6,Clifford+T gate-set decomposition preserves some Phase-2 value among surviving rows.,Section 6.8; Table 20,Experiment,E18,experiments/e18_clifford_t/run.py,data/v5/e18/,Survivorship-biased: decomposition/fidelity failures are excluded. Do not generalize to failed rows or full attempted population.
6,C7,Exact functionality is preserved where fidelity is computed and retained.,Section 5.2; Section 6; Fig. 6,Experiment,E1-E21,src/optimisation/base.py; all experiment scripts,data/*/e*/,Exact/scalable unitary comparison for supported qubit sizes. Failed/invalid rows are filtered where valid fidelity is required.
7,C8,The Phase-1 reduction ceiling is formally established for bounded circuits with the bounded INSERTION cascade gap resolved.,Section 4.1 (Thm 2c/2d); docs/theory/formal_results.md Appendix A,Theorem,Thm 2; Thm 2b,src/optimisation/base.py; docs/theory/formal_results.md,N/A,The unbounded INSERTION cascade remains open. QMA-hardness of CODP remains separate theoretical motivation.
8,C9,Listing-model dependency: WCL-style preprocessing exposes Phase-1 opportunities hidden under LBL.,Section 3.4; Section 6.2; Table 3,Experiment,E19,experiments/e19_wcl_listing/run.py,data/v6/e19/,Cross-family WCL validation (beyond random Universal) remains future work; Phase-2 commutation opportunities under WCL not separately measured.
9,C10,Ceiling-aware optimization can skip futile optimization passes with identical reduction and significant speedup.,Section 6.6; Table 17,Experiment,E21 full mode,experiments/e21_ceiling_aware/run.py; experiments/e21_ceiling_aware/analyze.py,data/v6/e21/,Exact fidelity verified only for n<=6; larger circuits use target=None (correctness is covered by unit tests).
10,C11,Multi-compiler extension with Cirq and t|ket> produces comparable reduction and runtime data.,Section 6.5; Tables 12-16; Supplementary S11.2,Experiment,E20 full mode,experiments/e20_multi_compiler_full/run.py,data/v6/e20/multi_compiler_full.csv,Baseline compiler settings are standardized but may not reflect optimal per-family tuning.
11,C12,Phase-2b template-assisted BV advantage is theoretically proved and the required template is implemented and unit-tested.,Section 4.2 (Thm 9); Section 6.4; Appendix D,Theorem + Unit Test,Thm 7; Thm 9; tests/test_phase2b_template_matcher.py,src/optimisation/phase2/template_matcher.py; tests/test_phase2b_template_matcher.py,N/A,Do not conflate Phase-2b theorem/tests with E10/E11/E14/E16 Phase-2a canonical results. Full canonical-scale Phase-2b benchmark rerun remains future work.
12,Thm6,Clifford circuits in Aaronson-Gottesman canonical form have empty Phase-1 action space (R1=0).,Section 4.2 (Thm 6); Section 6.7; docs/theory/formal_results.md Theorem 6,Experiment,E23,src/circuits/ag_canonical.py; experiments/e23_ag_canonical/run.py,data/v7/e23/,Validation uses random AG canonical circuits; does not cover all possible canonical forms exhaustively.
13,Thm7,Explicit artificial circuit family with R1=0 and R_{1+2a} >= 1/6.,Section 4.2 (Thm 7); docs/theory/formal_results.md Theorem 7,Experiment,E24,src/circuits/hardness_families.py; experiments/e24_theorem7/run.py,data/v7/e24/,Construction uses even n>=4; odd n and minimal n=2 not tested.
14,C13,Phase-2b template matching validated at full scale: BV reaches 69.2% mean reduction hitting the exact k+2 optimum on all 80/80 instances (exceeding the rigorous bound by 3.1-4.2x per instance); IQP 92.0%; Structured 42.3%; RandomClifford 48.2%; pooled Phase-2b reduction 46.5% (95% CI [42.4; 50.5]).,Section 4.2; Section 6.4,Experiment,E10p2b-v2 (Phase-2b full v2); E26 bv-theory,experiments/phase2b_full_validation.py,data/v8/phase2b_full/,Stratified grid is not a full factorial design; no parity-gadget phase-polynomial templates (QAOA/VQE/HardwareEfficient remain 0%); dataset added to the release manifest as E26_phase2b_full_v8 (wave 3).
15,C14,Repaired ceiling model (mechanism-gate + random-forest hybrid) achieves LOFO MAE 0.0172 (r=0.977; Spearman rho=0.853; R^2=0.954), beating the predict-0 baseline MAE of 0.0963.,Section 6.6,Experiment,CEILING_REPAIR v2,experiments/ceiling_model_repair.py,data/v6/ceiling_repair/,CNOT fold MAE 0.000 (closed by a mechanism gate selected post hoc on a single dataset); family-mean target n=15 underpowered (r=0.059); 11/15 folds have undefined Pearson r; auxiliary classifier F1=0.075; remains exploratory.
16,C15,Noise-model hardware validation: BV 46.15% logical reduction collapses to 0% after L1 physical transpilation; random instances show small positive Hellinger drift (+0.0016 to +0.0033) in all 4 unitary-verified cases.,Section 7.4; Section 7.5,Experiment,EHW,experiments/hardware_validation/run.py,data/v8/hardware_validation/,Noise-model simulation on fake backends - NOT real hardware. Only 2 retired-device snapshots; small n; do not extrapolate.
17,C16,Gate-shuffle ablation controls for gate-order effects: counterintuitively shuffled circuits yield higher greedy Phase-1 reduction than original (10.34% vs 6.30%; MWU p=6.8e-15); Phase-2a difference not significant (p=0.462).,Section 6.2; Section 7.5 item 9,Experiment,E22,experiments/gate_shuffle_ablation.py,data/v7/e22/,Shuffle preserves the gate multiset but not circuit semantics; interpretation limited to listing-model sensitivity.
18,C17,Multi-seed replication fails to reproduce E04 single-seed point estimates: RLS 0.00% to -176.5%; SA -1.6% to -22.1%; GA -0.2% to -8.3%; only hybrid stays positive at +4.69% (95% CI [4.23; 5.16]).,Section 6.1.1; Section 7.5 item 7,Experiment,E29,experiments/multi_seed_e04.py,data/v7/e29/,E29 uses a different circuit configuration (n=5; depth=15) than E04; E04 conclusions are seed/config fragile and must be qualified.
