ref_id,query,status
1,Peephole optimization McKeeman,NOT_FOUND best_sim=0.12 (Lecture Notes on Basic Optimization Anlaysis)
2,Using peephole optimization on intermediate code,NOT_FOUND best_sim=0.33 (Peephole Optimization Strategies for Intermediate Code in th)
4,Superoptimizer a look at the smallest program,NOT_FOUND
8,Elementary gates for quantum computation,WEAK_MATCH sim=0.40 year=1995 (Quantum computation)
9,Quantum Computation and Quantum Information Nielsen Chuang,"WEAK_MATCH sim=0.40 year=2011 (Quantum computation and quantum information, by MA Nielsen and IL Chuang: Scope:)"
10,Techniques for the synthesis of reversible Toffoli networks,NOT_FOUND
13,meet-in-the-middle algorithm fast synthesis depth-optimal quantum circuits,NOT_FOUND
16,Fast and efficient exact synthesis of Clifford+T circuits,WEAK_MATCH sim=0.40 year=2013 (Exact synthesis of multiqubit Clifford+ circuits)
20,Number-theoretic characterizations of optimal quantum circuits diagonal unitaries,NOT_FOUND
21,Graph-theoretic Simplification of Quantum Circuits ZX-calculus,NOT_FOUND best_sim=0.30 (Speeding up quantum circuits simulation using ZX-calculus)
22,Faster resynthesis with the ZX-calculus,NOT_FOUND
25,Non-identity-check is QMA-complete,WEAK_MATCH sim=0.40 year=2010.0 (Testing non-isometry is QMA-complete)
27,Stabilizer codes and quantum error correction Gottesman thesis,NOT_FOUND
28,Improved simulation of stabilizer circuits,WEAK_MATCH sim=0.57 year=2026 (GPU-Accelerated Quantum Simulation of Stabilizer Circuits)
29,The Solovay-Kitaev algorithm Dawson Nielsen,NOT_FOUND best_sim=0.33 (Breaking the cubic barrier in the Solovay-Kitaev algorithm)
30,Quantum computational supremacy Harrow Montanaro,VERIFIED sim=0.60 year=2017 (Quantum computational supremacy)
32,Fundamentals of Parameterized Complexity Downey Fellows,NOT_FOUND best_sim=0.23 (The parameterized complexity of some problems in logic and l)
33,A geometric approach to quantum circuit lower bounds,NOT_FOUND
35,Synthesis of Quantum-Logic Circuits Shende Bullock Markov,NOT_FOUND best_sim=0.33 (Synthesis of quantum logic circuits)
38,Quantum complexity theory Bernstein Vazirani,VERIFIED sim=0.60 year=1997 (Quantum complexity theory)
39,A quantum approximate optimization algorithm Farhi,NOT_FOUND
40,A variational eigenvalue solver on a photonic quantum processor,NOT_FOUND
41,A fast quantum mechanical algorithm for database search,VERIFIED sim=1.00 year=1996 (A fast quantum mechanical algorithm for database search)
42,Strategies for quantum computing molecular energies unitary coupled cluster,NOT_FOUND
43,A new quantum ripple-carry addition circuit,NOT_FOUND
45,Temporally unstructured quantum computation,VERIFIED sim=1.00 year=2009 (Temporally unstructured quantum computation)
46,Qiskit open-source framework quantum computing,NOT_FOUND best_sim=0.25 (Qiskit QuantumKatas: Adapting Microsoft's Quantum Computing )
47,Cirq Python library NISQ circuits,NOT_FOUND
48,t|ket> retargetable compiler for NISQ devices,NOT_FOUND
50,Surface codes towards practical large-scale quantum computation,NOT_FOUND
51,Local random quantum circuits approximate polynomial-designs,NOT_FOUND
56,Fast equivalence checking of quantum circuits Yamashita,NOT_FOUND
61,Exact and practical pattern matching for quantum circuit optimization,NOT_FOUND
62,Quartz superoptimization of quantum circuits,VERIFIED sim=1.00 year=2022 (Quartz: superoptimization of quantum circuits)
63,Quanto optimizing quantum circuits automatic generation circuit identities,NOT_FOUND best_sim=0.27 (Automatic Generation of Optimized Quantum Circuits for Real-)
64,Quarl learning-based quantum circuit optimizer,NOT_FOUND
65,Quantum circuit optimization with AlphaTensor,VERIFIED sim=1.00 year=2025 (Quantum circuit optimization with alphatensor)
66,Relaxed peephole optimization quantum,NOT_FOUND best_sim=0.25 (Equality Saturation for Quantum Circuit Optimization)
67,Reinforcement learning quantum circuit optimization ZX-calculus,NOT_FOUND
68,200-line Python micro-benchmark suite NISQ circuit compilers,VERIFIED sim=0.78 year=2025 (A 200-Line Python Micro-Benchmark Suite for NISQ Circuit Compilers)
69,MQT Bench benchmarking software design automation quantum computing,NOT_FOUND
70,QASMBench low-layer QASM benchmark suite,NOT_FOUND
78,Automated optimization of large quantum circuits continuous parameters,VERIFIED sim=0.89 year=2018 (Automated optimization of large quantum circuits with continuous parameters)
81,Quantum circuit optimization survey ACM Computing Surveys,NOT_FOUND
82,Clifford circuit optimization templates symbolic Pauli gates,NOT_FOUND best_sim=0.15 (Equivariant Reinforcement Learning for Clifford Quantum Circ)
