ref_id,query,status
1,Peephole optimization,VERIFIED sim=1.00 year=1965 authors=WM McKeeman (Peephole optimization)
2,Using peephole optimization on intermediate code,"VERIFIED sim=1.00 year=1982 authors=AS Tanenbaum, H Van Staveren… (Using peephole optimization on intermediate code)"
4,Superoptimizer: A look at the smallest program,VERIFIED sim=1.00 year=1987 authors=H Massalin (Superoptimizer: a look at the smallest program)
8,Elementary gates for quantum computation,"VERIFIED sim=1.00 year=1995 authors=A Barenco, CH Bennett, R Cleve, DP DiVin (Elementary gates for quantum computation)"
10,Techniques for the synthesis of reversible Toffoli networks,NOT_FOUND
13,A meet-in-the-middle algorithm for fast synthesis of depth-optimal quantum circuits,"VERIFIED sim=1.00 year=2013 authors=M Amy, D Maslov, M Mosca… (A meet-in-the-middle algorithm for fast synthesis of depth-optimal qua)"
16,Fast and efficient exact synthesis of single qubit unitaries generated by Clifford and T gates,"VERIFIED sim=1.00 year=1206 authors=V Kliuchnikov, D Maslov, M Mosca (Fast and efficient exact synthesis of single qubit unitaries generated)"
20,Number-theoretic characterizations of quantum circuits for diagonal unitaries,"NOT_FOUND sim=0.33 year=2020 authors=M Amy, AN Glaudell, NJ Ross (Number-theoretic characterizations of some restricted Clifford+ T circ)"
21,Graph-theoretic Simplification of Quantum Circuits with the ZX-calculus,NOT_FOUND
22,Faster resynthesis with the ZX-calculus,NOT_FOUND sim=0.18 year=2025 authors=V Vandaele (Optimization of fault-tolerant quantum computing by the ZX-calculus)
25,Non-identity-check is QMA-complete Janzing Wocjan Beth,NOT_FOUND
27,Stabilizer codes and quantum error correction,VERIFIED sim=1.00 year=1997 authors=D Gottesman (Stabilizer codes and quantum error correction)
28,Improved simulation of stabilizer circuits Aaronson Gottesman,"VERIFIED sim=0.71 year=2004 authors=S Aaronson, D Gottesman (Improved simulation of stabilizer circuits)"
29,The Solovay-Kitaev algorithm,"VERIFIED sim=1.00 year= authors=CM Dawson, MA Nielsen (The solovay-kitaev algorithm)"
32,Fundamentals of Parameterized Complexity,NOT_FOUND
33,A geometric approach to quantum circuit lower bounds,NOT_FOUND sim=0.33 year=2026 authors=N Parham (Quantum circuit lower bounds in the magic hierarchy)
35,Synthesis of Quantum-Logic Circuits,"NOT_FOUND sim=0.21 year=2011 authors=M Perkowski, M Lukac, D Shah… (Synthesis of quantum circuits in linear nearest neighbor model using p)"
39,A Quantum Approximate Optimization Algorithm,NOT_FOUND
40,A variational eigenvalue solver on a photonic quantum processor,NOT_FOUND
42,Strategies for quantum computing molecular energies using the unitary coupled cluster ansatz,"VERIFIED sim=1.00 year=2019 authors=J Romero, R Babbush, JR McClean… (Strategies for quantum computing molecular energies using the unitary )"
43,A new quantum ripple-carry addition circuit,"VERIFIED sim=1.00 year=2004 authors=SA Cuccaro, TG Draper, SA Kutin… (A new quantum ripple-carry addition circuit)"
46,Qiskit: An Open-source Framework for Quantum Computing,NOT_FOUND
47,Cirq: A Python library for NISQ circuits,NOT_FOUND sim=0.12 year=2021 authors=K Kissell (Simulations of Quantum Circuits with Approximate Noise using qsim and )
48,t|ket>: A retargetable compiler for NISQ devices,NOT_FOUND
50,Surface codes: Towards practical large-scale quantum computation,"NOT_FOUND sim=0.23 year=2026.0 authors=S Jones, P Murali (Architecting scalable trapped ion quantum computers using surface code)"
51,Local random quantum circuits are approximate polynomial-designs,NOT_FOUND
56,Fast equivalence checking of quantum circuits,"WEAK_MATCH sim=0.62 year=2020 authors=L Burgholzer, R Wille (Improved DD-based equivalence checking of quantum circuits)"
61,Exact and practical pattern matching for quantum circuit optimization,NOT_FOUND
63,Quanto: Optimizing quantum circuits with automatic generation of circuit identities,"NOT_FOUND sim=0.20 year=2025 authors=V Mardones, S Sepúlveda (QSimplify, Less is More: Reduction of Quantum Circuits)"
64,Quarl: A learning-based quantum circuit optimizer,NOT_FOUND
66,Relaxed Peephole Optimization: A Novel Compiler Optimization for Quantum Circuits,"VERIFIED sim=0.90 year=2012 authors=J Liu, L Bello, H Zhou (Relaxed peephole optimization: A novel compiler optimization for quant)"
67,Reinforcement learning based quantum circuit optimization via ZX-calculus,NOT_FOUND
69,MQT Bench: Benchmarking Software and Design Automation Tools for Quantum Computing,NOT_FOUND
70,QASMBench: A Low-level QASM Benchmark Suite for NISQ Evaluation and Simulation,NOT_FOUND
81,Quantum Circuit Optimization: A Survey,NOT_FOUND
82,Clifford Circuit Optimization with Templates and Symbolic Pauli Gates,NOT_FOUND
